word,frequency,filenames
be,4,"b.json, bb.json, be.json, bei.json"
see,4,"c.json, se.json, see.json, si.json"
tea,4,"te.json, tea.json, ti.json, tsa.json"
Iron,3,"iran.json, iron.json, irr.json"
and,3,"anc.json, and.json, nd.json"
carry,3,"carey.json, carrie.json, carry.json"
congestion,3,"congestion.json, congestive.json, congression.json"
key,3,"cai.json, k.json, key.json"
lie,3,"li.json, lia.json, lie.json"
provide,3,"p.json, pr.json, provide.json"
ultraviolet,3,"extraviolet.json, ultraviolet.json, ultravist.json"
Celsius,2,"celcius.json, celsius.json"
Massachusetts,2,"massachusettes.json, massachusetts.json"
acacia,2,"acacia.json, akia.json"
academia,2,"academia.json, acidemia.json"
accidentally,2,"accidentally.json, accidently.json"
act,2,"act.json, atc.json"
adolescence,2,"adolescence.json, adolescency.json"
after,2,"afta.json, after.json"
aim,2,"aim.json, eim.json"
alliteration,2,"alliteration.json, literation.json"
also,2,"als.json, also.json"
aluminum,2,"aluminum.json, alumium.json"
ambidextrous,2,"ambidexterous.json, ambidextrous.json"
amorphous,2,"amorphous.json, morphous.json"
amygdala,2,"amygdala.json, amygdale.json"
anecdotal,2,"anecdotal.json, anecdotical.json"
anonymous,2,"anonymous.json, onymous.json"
antagonistic,2,"antagonistic.json, antagonistical.json"
antenuptial,2,"antemarital.json, antenuptial.json"
antics,2,"antics.json, antigas.json"
are,2,"ar.json, are.json"
arterial,2,"arctinal.json, arterial.json"
as,2,"as.json, ss.json"
ascendant,2,"ascendant.json, ascendent.json"
ask,2,"ask.json, asl.json"
aspirate,2,"asperate.json, aspirate.json"
astronomical,2,"astronomical.json, astronomicas.json"
atmosphere,2,"atmos.json, atmosphere.json"
atomic,2,"atomic.json, atomical.json"
attention,2,"attention.json, attn.json"
automation,2,"automation.json, automatization.json"
avoid,2,"avoid.json, ovid.json"
back,2,"back.json, bk.json"
bald,2,"bald.json, beld.json"
bamboo,2,"bamboo.json, bamboos.json"
barb,2,"barb.json, barbe.json"
barometer,2,"barometer.json, barometre.json"
bearing,2,"bearing.json, bering.json"
