id,headword_id,word,sentence,answer,distractors
2,51,ability,His quick thinking and problem-solving ___ helped the team avoid a major setback.,ability,"{strategy,opinion,concern}"
3,64,able,"Despite the injury, he was ___ to finish the marathon with support from the medical staff.",able,"{eager,unwilling,reluctant}"
6,96,about,We were just talking ___ you—how did you know we were here?,about,"{to,with,for}"
8,111,abroad,She dreamed of studying ___ to experience new cultures and improve her language skills.,abroad,"{locally,remotely,intensively}"
17,170,abuse,"The investigation uncovered widespread ___ of power, with executives using company funds for personal gain.",abuse,"{delegation,transfer,exercise}"
19,192,academy,He trained at a prestigious military ___ before joining the armed forces.,academy,"{university,college,base}"
20,202,accelerate,"When the traffic light turned green, the driver pressed the pedal to ___ the car quickly.",accelerate,"{decelerate,maintain,steer}"
26,227,accessible,The new library was designed to be fully ___ for people with mobility challenges.,accessible,"{available,convenient,welcoming}"
35,276,account,"She gave a detailed ___ of the incident to the police, including the time and location.",account,"{opinion,theory,reason}"
40,296,accumulate,"Over time, dust tends to ___ on shelves and electronic devices if they are not cleaned regularly.",accumulate,"{settle,spread,circulate}"
43,303,accurate,"For the experiment to be valid, the measurements must be extremely ___ and free from error.",accurate,"{consistent,abundant,preliminary}"
46,311,accuse,The teacher decided to ___ the student of cheating after finding a crib sheet under the desk.,accuse,"{suspect,warn,clear}"
50,357,acid,"The chemist used litmus paper to test the liquid, which turned bright red, indicating it was a strong ___.",acid,"{base,solvent,salt}"
51,373,acknowledge,"In his speech, the CEO was sure to ___ the hard work of his employees, thanking them for their dedication.",acknowledge,"{reward,measure,criticize}"
52,395,acquire,The company hopes to ___ a smaller tech startup to expand its artificial intelligence capabilities.,acquire,"{merge with,partner with,invest in}"
54,403,acre,The family owns a 10-___ plot of land where they grow organic vegetables and raise livestock.,acre,"{hectare,kilometer,mile}"
55,423,across,"The old bridge stretches ___ the wide river, connecting the two towns.",across,"{along,beside,through}"
56,426,act,The senator will ___ on the proposed environmental legislation tomorrow morning.,act,"{agree,report,focus}"
62,447,activity,"The camp offers a wide range of outdoor ___ including hiking, kayaking, and rock climbing.",activities,"{locations,challenges,sceneries}"
68,483,adapt,New immigrants must often find ways to ___ their lifestyle to a new environment.,adapt,"{preserve,compare,explain}"
69,486,adaptation,"The film is a remarkable ___ of the classic novel, preserving its themes and characters.",adaptation,"{sequel,preface,translation}"
80,575,adjust,It took her a few weeks to ___ to the new time zone after her long flight to Asia.,adjust,"{resist,forget,ignore}"
81,579,adjustment,"After reviewing the quarterly sales data, we made a slight ___ to our forecast for the next year.",adjustment,"{resistance,assignment,disruption}"
90,624,adopt,Many couples choose to ___ a child when they are unable to have one biologically.,adopt,"{reject,abandon,sponsor}"
92,661,adult,"By the time she was an ___, she had already lived in three different countries.",adult,"{infant,toddler,teenager}"
101,706,advice,She gave me some valuable ___ on how to succeed in the job interview.,advice,"{opinion,command,story}"
102,709,advise,The doctor will ___ patients to reduce their sugar intake for better health.,advise,"{force,forbid,require}"
109,821,afford,"We couldn't ___ to miss the sale, so we bought the furniture as soon as it went on discount.",afford,"{decide,plan,choose}"
114,862,afternoon,"After finishing lunch around one o'clock, we spent the rest of the ___ relaxing by the pool.",afternoon,"{morning,evening,night}"
116,871,again,"He failed the test the first time, so he had to study hard and take it ___.",again,"{already,finally,instead}"
120,884,agency,The marketing ___ was hired to develop a national campaign for the new product launch.,agency,"{department,committee,foundation}"
