id,headword_id,word,sentence,answer,distractors
1,11,abandon,"Fearing for their lives, the crew was forced to ___ the ship during the storm.",abandon,"{build,board,celebrate}"
8932,35074,section,The newspaper is divided into several parts; my favorite ___ is the one with comics and puzzles.,section,"{headline,article,area}"
9947,43829,wood,He gathered some dry ___ from the forest floor to start a campfire.,wood,"{trees,stones,water}"
4,78,abolish,Activists continue to campaign to ___ the death penalty in countries where it still exists.,abolish,"{introduce,protect,encourage}"
5,92,abortion,"The debate over ___ rights often centers on ethics, healthcare access, and personal freedom.",abortion,"{immigration,education,retirement}"
7,97,above,"The temperature soared to 40 degrees Celsius, which is well ___ the average for this season.",above,"{below,beside,within}"
4245,37385,station,Firefighters returned to the ___ after responding to a call in the downtown area.,station,"{hospital,building,barracks}"
9,124,absence,"Due to his prolonged ___ from work, the manager had to reassign his duties temporarily.",absence,"{presence,effort,promotion}"
10,125,absent,The teacher noticed that several students were ___ from class on the day of the field trip.,absent,"{present,active,enthusiastic}"
11,132,absolute,"The dictator had ___ control over the country, making every major decision without opposition.",absolute,"{limited,doubtful,temporary}"
12,133,absolutely,She was ___ certain that she had locked the door before leaving the house.,absolutely,"{occasionally,barely,roughly}"
13,138,absorb,"Sponges can ___ large amounts of water, making them ideal for cleaning spills.",absorb,"{repel,release,produce}"
14,157,abstract,"The painting was not a realistic depiction but a colorful, ___ composition of shapes and lines.",abstract,"{literal,concrete,factual}"
15,163,absurd,It's ___ to think that cats could run the government—yet the cartoon portrayed it hilariously.,absurd,"{reasonable,logical,plausible}"
16,167,abundance,"Thanks to the rainy season, there was an ___ of wildflowers blooming across the meadow.",abundance,"{absence,shortage,limit}"
18,187,academic,"Although he lacked practical experience, his ___ background in engineering earned him a research position.",academic,"{commercial,physical,recreational}"
21,208,accent,"She spoke fluent French, but her British ___ made it clear where she was from.",accent,"{dialect,grammar,vocabulary}"
22,213,accept,"After careful consideration, he decided to ___ the job offer from the international company.",accept,"{decline,postpone,neglect}"
23,215,acceptable,"The quality of the work was not ___ by the standards of the industry, so it was sent back for revision.",acceptable,"{satisfactory,impressive,professional}"
24,217,acceptance,Her ___ into the prestigious university was celebrated by family and friends.,acceptance,"{application,interest,reputation}"
25,224,access,Employees must use a security card to ___ the restricted areas of the building.,access,"{monitor,secure,bypass}"
28,235,accidentally,He ___ deleted the important file while cleaning up his computer's desktop.,accidentally,"{purposely,gradually,frequently}"
29,251,accommodate,The hotel can ___ up to 300 guests for large conferences and events.,accommodate,"{invite,serve,employ}"
30,253,accommodation,The resort offers luxurious ___ for guests who want to stay on the beachfront.,accommodation,"{activities,services,facilities}"
31,261,accompany,"Would you like me to ___ you to the airport, or are you taking public transportation?",accompany,"{transport,direct,meet}"
32,264,accomplish,"Despite the tight deadline, the team managed to ___ all the required tasks ahead of schedule.",accomplish,"{attempt,postpone,discuss}"
33,269,accordance,The project was completed in ___ with safety regulations and industry standards.,accordance,"{contrast,violation,absence}"
